timestamp, p_x, p_y,p_z, q_x, q_y,q_z, q_w
DJI_0182.JPG,5.094703,38.196656,-3.728009,-0.112798,-0.911794,0.392190,0.045776
DJI_0183.JPG,8.917768,36.657443,-3.856882,-0.160237,-0.904395,0.389865,0.066321
DJI_0184.JPG,12.557620,35.001278,-3.907474,-0.206072,-0.894987,0.386160,0.086103
DJI_0185.JPG,15.764430,32.604913,-3.878480,-0.251856,-0.882860,0.381761,0.106703
DJI_0186.JPG,18.990175,30.195122,-3.932691,-0.301176,-0.867029,0.375585,0.128417
DJI_0187.JPG,21.825592,27.266203,-3.875605,-0.342617,-0.851084,0.369725,0.146877
DJI_0188.JPG,24.254121,24.070904,-3.919592,-0.383587,-0.832902,0.362919,0.165607
DJI_0189.JPG,26.723013,20.870134,-4.000972,-0.429195,-0.810122,0.353468,0.185890
DJI_0190.JPG,28.474179,17.238015,-4.008227,-0.471098,-0.786091,0.343709,0.204919
DJI_0191.JPG,30.068224,13.502851,-3.990894,-0.512108,-0.759735,0.332565,0.223494
DJI_0192.JPG,31.301787,9.712590,-3.973537,-0.546653,-0.735121,0.321972,0.238959
DJI_0193.JPG,31.813701,5.629939,-4.020429,-0.520310,-0.753827,0.328494,0.230465
DJI_0194.JPG,32.441497,1.730440,-4.028386,-0.452137,-0.796624,0.345299,0.204282
DJI_0260.JPG,17.096095,-20.533559,-30.773623,-0.728335,-0.340647,0.251757,0.538615
DJI_0261.JPG,19.143131,-22.446074,-33.780187,-0.674757,-0.317547,0.282812,0.603229
DJI_0262.JPG,21.373358,-24.854058,-35.877535,-0.679049,-0.321775,0.279597,0.597644
DJI_0263.JPG,21.364077,-24.846086,-36.965833,-0.679443,-0.321731,0.279496,0.597268
DJI_0264.JPG,27.124747,-23.579257,-40.168489,-0.610396,-0.286752,0.313453,0.668534
DJI_0265.JPG,27.113634,-23.576531,-40.773860,-0.610075,-0.287099,0.313207,0.668793
DJI_0266.JPG,27.136342,-23.579024,-41.321124,-0.609803,-0.287038,0.313148,0.669094
DJI_0267.JPG,27.155437,-23.489901,-41.893837,-0.609469,-0.287058,0.313116,0.669406
DJI_0268.JPG,27.136547,-23.483454,-42.300384,-0.609553,-0.287088,0.312987,0.669376
DJI_0269.JPG,28.616363,-21.833503,-42.357204,-0.573664,-0.353711,0.383661,0.631349
DJI_0270.JPG,29.332876,-21.132536,-42.349137,-0.573585,-0.351945,0.384352,0.631988
DJI_0271.JPG,29.782868,-20.454650,-42.318720,-0.573710,-0.351305,0.384776,0.631972
DJI_0272.JPG,30.558876,-19.415377,-42.328370,-0.573389,-0.350588,0.385232,0.632384
DJI_0273.JPG,31.042743,-18.623416,-42.299781,-0.573350,-0.350390,0.385422,0.632413
DJI_0274.JPG,31.453222,-17.899986,-42.275473,-0.573214,-0.350327,0.385450,0.632554
DJI_0275.JPG,31.816062,-17.248232,-42.255230,-0.573151,-0.350414,0.385371,0.632611
DJI_0276.JPG,32.380080,-16.176074,-42.250519,-0.573155,-0.350114,0.385751,0.632541
DJI_0277.JPG,32.958418,-14.941183,-42.219446,-0.573008,-0.350132,0.385626,0.632742
DJI_0278.JPG,33.404744,-14.189634,-42.178797,-0.545192,-0.392635,0.429497,0.603437
DJI_0279.JPG,32.398881,-10.943128,-42.081913,-0.533502,-0.406394,0.447585,0.591512
DJI_0280.JPG,32.611424,-10.178571,-42.084062,-0.516594,-0.427815,0.474015,0.570451
DJI_0281.JPG,32.846577,-9.119632,-42.133830,-0.506061,-0.441603,0.485817,0.559349
DJI_0282.JPG,12.361409,-25.295986,-43.891631,-0.658151,-0.217638,0.233155,0.681990
DJI_0283.JPG,10.128125,-25.662016,-43.883165,-0.645851,-0.262230,0.279584,0.660260
DJI_0284.JPG,8.835401,-25.624677,-43.819549,-0.658496,-0.216516,0.234765,0.681461
DJI_0285.JPG,8.848567,-25.656174,-43.808923,-0.631622,-0.279205,0.304473,0.656044
DJI_0286.JPG,7.101657,-25.990324,-43.844724,-0.668913,-0.174419,0.192051,0.696599
DJI_0287.JPG,5.224541,-25.869356,-43.857895,-0.669678,-0.170172,0.187666,0.698108
DJI_0288.JPG,3.167658,-25.722346,-43.910385,-0.664931,-0.185338,0.204720,0.693978
DJI_0289.JPG,2.043673,-25.575433,-43.932421,-0.661697,-0.196654,0.216834,0.690266
DJI_0290.JPG,-0.103090,-25.137839,-44.014832,-0.667374,-0.175451,0.194335,0.697182
DJI_0291.JPG,-1.888653,-24.647378,-44.068317,-0.667967,-0.170077,0.188481,0.699549
DJI_0292.JPG,-3.505163,-24.470117,-44.136906,-0.667007,-0.171986,0.190531,0.699443
DJI_0293.JPG,-5.296026,-24.568313,-44.121654,-0.673319,-0.144651,0.161532,0.706842
DJI_0294.JPG,-6.542866,-24.638619,-44.169220,-0.662019,-0.187419,0.206178,0.695770
DJI_0295.JPG,-8.310694,-24.945522,-44.161706,-0.659494,-0.198952,0.217799,0.691411
DJI_0296.JPG,-9.562051,-24.869859,-44.205240,-0.673943,-0.144903,0.160138,0.706513
DJI_0297.JPG,-10.583639,-24.685560,-44.232075,-0.680905,-0.106901,0.120171,0.714492
DJI_0298.JPG,-11.545279,-24.547581,-44.285059,-0.682181,-0.096276,0.109088,0.716561
DJI_0299.JPG,-13.249459,-24.440636,-44.411789,-0.680249,-0.105909,0.118925,0.715473
DJI_0300.JPG,-14.402665,-24.346927,-44.437348,-0.681440,-0.097352,0.110635,0.716884
DJI_0301.JPG,-15.627515,-24.375856,-44.524479,-0.678986,-0.112045,0.126346,0.714466
DJI_0302.JPG,-16.445761,-24.255742,-44.577420,-0.676555,-0.119268,0.135494,0.713925
DJI_0303.JPG,-15.633031,-23.864111,-44.557474,-0.661149,0.191762,-0.193975,0.698916
DJI_0304.JPG,-15.046448,-23.530572,-44.490281,-0.656305,0.210095,-0.212167,0.692899
DJI_0305.JPG,-1.678798,-24.540152,-44.221897,-0.724100,0.001870,-0.011480,0.689597
DJI_0306.JPG,-0.400243,-24.435853,-43.896068,-0.663946,-0.039285,0.045511,0.745359
DJI_0307.JPG,0.880206,-24.260705,-44.039870,-0.678753,-0.044849,0.051510,0.731184
DJI_0308.JPG,2.353885,-24.277027,-44.070622,-0.680056,-0.043426,0.048822,0.730243
DJI_0309.JPG,3.589568,-24.280016,-44.072977,-0.678718,-0.043905,0.049246,0.731429
DJI_0310.JPG,4.903957,-24.302061,-44.125292,-0.676502,-0.059630,0.065493,0.731095
DJI_0311.JPG,5.884367,-24.413591,-44.029259,-0.669850,-0.106011,0.114778,0.725871
DJI_0312.JPG,7.134929,-24.545669,-44.043498,-0.637500,-0.228390,0.258912,0.688764
DJI_0313.JPG,8.262226,-24.421243,-44.060497,-0.626852,-0.252413,0.283862,0.680270
DJI_0314.JPG,9.299233,-24.445667,-44.082674,-0.678674,-0.250427,0.248952,0.643981
DJI_0520.JPG,20.034271,-11.776444,-26.389222,-0.821190,-0.347617,0.190986,0.410285
DJI_0521.JPG,17.852802,-13.972451,-25.695088,-0.840931,-0.310054,0.155583,0.415326
DJI_0522.JPG,17.066094,-14.462998,-25.595938,-0.861120,-0.252344,0.124819,0.423338
DJI_0523.JPG,17.063102,-14.514773,-25.567576,-0.837961,-0.322161,0.156811,0.411636
DJI_0524.JPG,14.749579,-17.054762,-25.771420,-0.841333,-0.313193,0.150854,0.413898
DJI_0525.JPG,12.422125,-19.446869,-25.761432,-0.878014,-0.184965,0.091047,0.431960
DJI_0526.JPG,8.344437,-21.739717,-25.568642,-0.892867,-0.096321,0.047826,0.437290
DJI_0527.JPG,5.470147,-22.908243,-25.423682,-0.892557,-0.098845,0.047246,0.437425
DJI_0528.JPG,3.092954,-23.468739,-25.495069,-0.892784,-0.102085,0.047512,0.436187
DJI_0529.JPG,1.041246,-24.079349,-25.681184,-0.896639,-0.052018,0.024343,0.439023
DJI_0530.JPG,-2.178575,-24.673618,-25.902594,-0.896281,-0.054172,0.024130,0.439504
DJI_0531.JPG,-5.499495,-24.614954,-25.801065,-0.897091,-0.056240,0.024235,0.437582
DJI_0532.JPG,-7.485226,-24.700389,-25.822735,-0.897219,-0.057016,0.025003,0.437175
DJI_0533.JPG,-11.168579,-24.811558,-25.917512,-0.897587,-0.057906,0.024649,0.436322
DJI_0534.JPG,-14.806436,-24.930426,-26.095481,-0.897636,-0.058469,0.024316,0.436165
DJI_0535.JPG,-16.051912,-25.239604,-26.001075,-0.897297,-0.059116,0.025532,0.436705
DJI_0536.JPG,-14.654863,-25.154753,-26.077082,-0.896898,-0.058137,0.028536,0.437470
DJI_0537.JPG,-10.865540,-24.845642,-25.962975,-0.897147,-0.058357,0.030214,0.436816
DJI_0538.JPG,-5.481375,-24.636406,-25.785921,-0.897120,-0.060367,0.026139,0.436862
DJI_0539.JPG,-2.481584,-24.820614,-25.601828,-0.896966,-0.060937,0.024030,0.437221
DJI_0540.JPG,0.572568,-25.061605,-25.434018,-0.896735,-0.061134,0.023530,0.437693
DJI_0541.JPG,3.192514,-24.726981,-25.346318,-0.871235,-0.222773,0.099037,0.426044
DJI_0542.JPG,9.747539,-21.701817,-25.225311,-0.870795,-0.221144,0.103146,0.426816
DJI_0543.JPG,11.566412,-21.087743,-25.047288,-0.829133,-0.349322,0.159152,0.406428
DJI_0544.JPG,15.653920,-17.608181,-24.843110,-0.830623,-0.342992,0.166956,0.405644
DJI_0546.JPG,23.411212,-11.782781,-24.879008,-0.787804,-0.432730,0.202952,0.388485
DJI_0547.JPG,26.701412,-5.337031,-24.922615,-0.745856,-0.499193,0.247523,0.365017
DJI_0223.JPG,52.525643,1.856472,39.386921,-0.692685,-0.669771,0.186331,0.192031
DJI_0224.JPG,50.590531,1.735323,39.196698,-0.692357,-0.668728,0.187836,0.195350
DJI_0225.JPG,46.121316,1.677563,39.150250,-0.692055,-0.668657,0.188310,0.196207
DJI_0226.JPG,40.973539,1.612157,39.023304,-0.691702,-0.668569,0.188896,0.197188
DJI_0227.JPG,36.185352,1.490057,38.937119,-0.691517,-0.668452,0.189262,0.197877
DJI_0228.JPG,29.938131,1.236934,38.845658,-0.691134,-0.668452,0.189682,0.198813
DJI_0229.JPG,23.755516,1.030206,38.765629,-0.690901,-0.668414,0.190070,0.199381
DJI_0230.JPG,15.583936,0.777652,38.697473,-0.690641,-0.668501,0.190481,0.199597
DJI_0231.JPG,7.403921,0.526259,38.608291,-0.690572,-0.668484,0.190736,0.199647
DJI_0232.JPG,-0.766142,0.345063,38.496075,-0.690343,-0.668589,0.191179,0.199662
DJI_0233.JPG,0.274855,-1.238922,21.590497,-0.693561,-0.666442,0.189501,0.197276
DJI_0234.JPG,0.367084,-1.317421,18.774795,-0.693681,-0.666579,0.188928,0.196939
DJI_0235.JPG,6.009521,-1.914809,10.837465,-0.694081,-0.666109,0.188335,0.197685
DJI_0236.JPG,9.964831,-2.223462,9.778348,-0.694399,-0.666620,0.186955,0.196153
DJI_0237.JPG,14.842132,-2.464838,9.685659,-0.694594,-0.667017,0.185795,0.195211
DJI_0238.JPG,17.487602,-2.557604,9.696587,-0.694462,-0.667243,0.185550,0.195143
DJI_0239.JPG,20.229147,-2.677499,9.744524,-0.694567,-0.667392,0.185166,0.194621
DJI_0240.JPG,24.564748,-2.861465,6.837522,-0.694668,-0.667853,0.184576,0.193238
DJI_0241.JPG,24.885739,-2.878975,3.755939,-0.694349,-0.667765,0.185117,0.194165
DJI_0242.JPG,24.873197,-3.021194,1.120135,-0.693979,-0.667882,0.185625,0.194602
DJI_0243.JPG,24.644512,-3.144678,-2.183701,-0.693616,-0.668022,0.185620,0.195417
DJI_0244.JPG,24.317897,-3.458168,-6.047032,-0.693369,-0.667939,0.185768,0.196435
DJI_0245.JPG,25.250910,-3.838661,-9.202869,-0.693330,-0.667613,0.186101,0.197364
DJI_0246.JPG,27.573895,-4.141415,-12.514760,-0.693548,-0.667086,0.186513,0.197990
DJI_0247.JPG,30.606317,-4.256548,-14.752999,-0.639183,-0.611583,0.324587,0.334745
DJI_0248.JPG,29.614232,-7.151587,-14.904447,-0.811497,-0.354355,0.194210,0.422124
DJI_0249.JPG,29.729912,-7.757387,-14.819493,-0.757227,-0.458303,0.244227,0.396131
DJI_0250.JPG,27.201315,-13.994640,-14.983147,-0.754794,-0.462192,0.242062,0.397582
